   ,DEL_DATE,SHOP_CODE,MATERIAL,EFF_DURATION,DELAY_FROM,DELAY_TO,DELAY_DURN,CUM_DELAY,EQPT,SUB_EQPT,EFF_DURN
11,3/31/2005,1,others,1,14,15,1,1,others,CO-45,1
779,3/25/2005,1,others,0.833333,18.3,19.2,0.5,0.5,LOCP,CO-37,0.833333
783,3/25/2005,1,others,0.667,15,15.4,0.4,0.67,LOCP,CO-45,0.667
1960,3/15/2005,1,BC,8.75,9,17.45,8.45,8.45,BRC,CO-30,8.75
4077,2/26/2005,1,MCC,10,9.3,19.3,10,10,BRC,CO-34,10
4433,2/23/2005,1,others,0.92,7.3,8.25,0.55,0.92,OT-2,CO-6,0.92
6480,2/8/2005,1,ICC,1.666667,9.3,11.1,1.4,1.4,LOCP,CO-48,1.666667
7369,2/1/2005,1,others,2.666667,8.35,11.15,2.4,2.4,LOCP,CO-36,2.666667
7861,1/28/2005,1,others,7,22,5,7,7,others,CO-5,7
7882,1/28/2005,1,others,10.583333,8.45,19.2,10.35,10.35,others,"CO-5,8,11",10.583333
7897,1/28/2005,1,others,0.916667,4.25,5.2,0.55,0.55,OT-1,CO-5,0.916667
8832,1/21/2005,1,others,9.5,8.3,18,9.3,9.3,BRC,CO-31,9.5
9553,1/15/2005,1,ICC,9.333333,9,18.2,9.2,9.2,others,"CO-67,70",9.333333
9617,1/15/2005,1,others,11,15.3,2.3,11,11,others,CO-11,11
9683,1/14/2005,1,others,9.333333,9,18.2,9.2,9.2,BRC,CO-32,9.333333
10173,1/10/2005,1,ICC,9.333333,9,18.2,9.2,9.2,WBRC,CO-26,9.333333
11476,12/31/2004,1,others,8.25,9.3,17.45,8.15,8.15,others,CO-59,8.25
11503,12/31/2004,1,others,6.5,14.3,21,6.3,6.3,LOCP,CO-38,6.5
12271,12/26/2004,1,ICC,9.5,9,18.3,9.3,9.3,BRC,CO-31,9.5
12309,12/26/2004,1,ISC,9,9,18,9,9,WBRC,CO-25,9
12566,12/24/2004,1,others,8.666667,9,17.4,8.4,8.4,others,CO-75,8.666667
14090,12/12/2004,1,ICC,8,9,17,8,8,BRC,CO-31,8
17186,11/18/2004,1,others,8.75,9,17.45,8.45,8.45,others,CO-6,8.75
17187,11/18/2004,1,MCC,8.75,9,17.45,8.45,8.45,BRC,"CO-32,34",8.75
18904,11/5/2004,1,MCC,9,9,18,9,9,BRC,CO-32,9
19156,11/3/2004,1,others,9,9,18,9,9,BRC,CO-34,9
19263,11/2/2004,1,others,1.75,21.15,23,1.45,1.45,others,CO-25 ,1.75
19815,10/29/2004,1,ICC,8.75,10,18.45,8.45,8.45,others,"CO-60,63",8.75
20671,10/22/2004,1,others,4,12,16,4,4,others,CO-14,4
21088,10/19/2004,1,others,10,10,20,10,10,BRC,CO-31,10
22367,10/9/2004,1,others,10,9,19,10,10,others,"CO-7,10,13",10
22455,10/8/2004,1,others,10.666667,10,20.4,10.4,10.4,BRC,CO-34,10.666667
22456,10/8/2004,1,others,1.75,14,15.45,1.45,1.45,LOCP,CO-44,1.75
23532,9/28/2004,1,others,3.166667,8.3,11.4,3.1,3.1,others,CO-13,3.166667
23682,9/27/2004,1,others,7.25,11,18.15,7.15,7.15,others,CO-17,7.25
23683,9/27/2004,1,others,9.25,9,18.15,9.15,9.15,others,"CO-76,77",9.25
25432,9/12/2004,1,others,8.833333,9.3,18.2,8.5,8.5,others,"CO-5,8,11",8.833333
27790,8/25/2004,1,others,9.5,10,19.3,9.3,9.3,others,"CO-65,68",9.5
28703,8/18/2004,1,others,2,22.3,0.3,2,2,LOCP,CO-44,2
28869,8/16/2004,1,ICC,8.75,10,18.45,8.45,8.45,others,"CO-59,62",8.75
30137,8/6/2004,1,USC,8.833333,9,17.5,8.5,8.5,others,CO-1,8.833333
31320,7/28/2004,1,others,2.916667,13.45,16.4,2.55,2.55,others,CO-69,2.916667
32215,7/21/2004,1,ICC,0.833333,3.25,4.15,0.5,0.5,BRC,CO-30,0.833333
32224,7/21/2004,1,others,1,4.15,5.15,1,1,BRC,CO-30,1
34075,7/7/2004,1,BC,0.666667,0,0.4,0.4,0.4,others,CO-63,0.666667
34181,7/6/2004,1,others,1.5,3,4.3,1.3,1.3,OT-3,CO-14,1.5
34185,7/6/2004,1,ISC,5.5,20.3,2,5.3,5.3,BRC,CO-31,5.5
34203,7/6/2004,1,others,4.5,0,4.3,4.3,4.3,BRC,CO-33,4.5
34640,7/3/2004,1,ICC,9.5,9,18.3,9.3,9.3,others,"CO-7,10,13",9.5
35419,6/27/2004,1,others,0.75,11,11.45,0.45,0.45,others,CO-69,0.75
35440,6/26/2004,1,others,0.916667,4.15,5.1,0.55,0.55,LOCP,CO-44,0.916667
35866,6/23/2004,1,BC,11.5,9.3,21,11.3,11.3,LOCP,CO-20,11.5
36816,6/15/2004,1,others,1.25,0,0,1.15,1.15,others,CO-69,1.25
37030,6/14/2004,1,others,9.25,9,18.15,9.15,9.15,BRC,CO-31,9.25
37066,6/13/2004,1,MCC,5,6,11,5,8.15,others,CO-18,5
37107,6/13/2004,1,ICC,0.666667,6,6.4,0.4,2.05,OT-2,CO-18,0.666667
37648,6/9/2004,1,BC,1.25,0,0,1.15,1.15,BRC,CO-69,1.25
37655,6/9/2004,1,others,1,0.3,1.3,1,1,BRC,CO-69,1
37699,6/9/2004,1,BC,0.833333,23.3,0.2,0.5,0.5,LOCP,CO-48,0.833333
38181,6/5/2004,1,MCC,9,9,18,9,9,others,"CO-63,66",9
38213,6/5/2004,1,BC,8.75,9.15,18,8.45,8.45,BRC,CO-32,8.75
38888,5/31/2004,1,ICC,6,13,19,6,6,others,CO-14,6
38917,5/31/2004,1,others,1.416667,4.35,6,1.25,1.25,OT-2,CO-18,1.416667
39113,5/30/2004,1,MCC,3.25,2.45,6,3.15,3.15,others,CO-18,3.25
39397,5/28/2004,1,others,11.333333,9,20.2,11.2,11.2,others,CO-6,11.333333
39414,5/28/2004,1,others,1.833333,18.3,20.2,1.5,1.5,OT-1,CO-14,1.833333
39486,5/27/2004,1,BC,0.75,3.45,4.3,0.45,0.45,OT-1,CO-14,0.75
42360,5/6/2004,1,ICC,0.666667,13,13.4,0.4,0.4,OT-2,CO-11,0.666667
43629,4/26/2004,1,others,8.666667,9,17.4,8.4,8.4,others,"CO-5,16",8.666667
43660,4/26/2004,1,BC,9,9,18,9,9,BRC,CO-30,9
43881,4/24/2004,1,others,0.5,0,0,0.3,0.3,OT-1,CO-64,0.5
