   ,DEL_DATE,SHOP_CODE,MATERIAL,EFF_DURATION,DELAY_FROM,DELAY_TO,DELAY_DURN,CUM_DELAY,EQPT,SUB_EQPT,EFF_DURN
12,3/31/2005,1,BC,7.5,10.3,18,7.3,7.3,others,"CC-15,19",7.5
78,3/31/2005,1,ICC,10.666667,17,3.4,10.4,10.4,OT-3,others,10.666667
88,3/31/2005,1,ICC,1,5,6,1,1,CT-1,others,1
92,3/31/2005,1,ISC,2.083333,2.35,4.4,2.05,2.05,CT-2,others,2.083333
228,3/30/2005,1,ISC,4.583333,16.1,20.45,4.35,4.35,GETS,TG-2,4.583333
327,3/29/2005,1,ISC,0,0,0,0,0,MILL,others,0
355,3/29/2005,1,BC,24,6,6,24,106,CONV-C,others,24
374,3/29/2005,1,BC,1.166667,14,15.1,1.1,1.1,CONV-A,others,1.166667
375,3/29/2005,1,BC,0.5,17.2,17.5,0.3,0.3,CONV-A,others,0.5
376,3/29/2005,1,ISC,13.5,16.3,6,13.3,13.3,MIXER-1,others,13.5
405,3/28/2005,1,BC,1.25,6,7.15,1.15,22.55,CT-2,others,1.25
408,3/28/2005,1,MCC,1.75,6,7.45,1.45,2.15,OT-1,others,1.75
415,3/28/2005,1,ISC,1,8.55,9.55,1,1,F/C-2,TH-6,1
416,3/28/2005,1,ICC,0,0,0,0,0,CCM-6,others,0
474,3/28/2005,1,ICC,0,0,0,0,0,CCM-1,others,0
484,3/28/2005,1,ICC,0,0,0,0,0,CCM-3,others,0
559,3/27/2005,1,ICC,0.25,4.3,4.45,0.15,0.15,M/C-1,others,0.25
560,3/27/2005,1,MCC,0,0,0,0,0,CCM-5,others,0
573,3/27/2005,1,BC,0,0,0,0,0,BILLET MIL,others,0
580,3/27/2005,1,ISC,0,0,0,0,0,BAR MILL,others,0
622,3/26/2005,1,BC,0,0,0,0,0,OT-3,others,0
623,3/26/2005,1,ICC,24,6,6,24,24,BAR MILL,others,24
640,3/26/2005,1,BC,0.166667,2,2.1,0.1,0.1,MILL,others,0.166667
665,3/26/2005,1,ICC,0.166667,4.2,4.3,0.1,0.1,MILL,S-12,0.166667
734,3/25/2005,1,ICC,3.416667,7.3,10.55,3.25,3.25,OT-3,others,3.416667
735,3/25/2005,1,ICC,3,9.3,12.3,3,3,LOCP,VS-4,3
838,3/24/2005,1,BC,7,11.3,18.3,7,7,BRC,others,7
851,3/24/2005,1,MCC,0.416667,7.15,7.4,0.25,0.25,CT-2,others,0.416667
879,3/24/2005,1,MCC,0.666667,9.3,10.1,0.4,0.4,OT-2,others,0.666667
881,3/24/2005,1,BC,0.416667,6.15,6.4,0.25,0.25,MILL,others,0.416667
892,3/24/2005,1,MCC,1.333333,7.45,9.05,1.2,1.2,GETS,TG-2,1.333333
934,3/24/2005,1,BC,6.916667,11,17.55,6.55,6.55,CCM-3,others,6.916667
944,3/24/2005,1,ICC,2.75,13.15,16,2.45,2.45,OT-3,others,2.75
946,3/24/2005,1,ICC,1.25,21.45,23,1.15,1.15,CT-2,others,1.25
964,3/23/2005,1,ICC,0,0,0,0,0,CT-1,others,0
1049,3/23/2005,1,MCC,4,0,0,4,4,PCM,M/C-3,4
1050,3/23/2005,1,BC,7.75,17.5,1.35,7.45,7.45,CCM-1,others,7.75
1167,3/22/2005,1,ICC,22.333333,7.4,6,22.2,22.2,CCM-6,others,22.333333
1181,3/22/2005,1,BC,0.416667,1.25,1.5,0.25,0.25,OT-2,others,0.416667
1183,3/22/2005,1,ICC,0.833333,3.3,4.2,0.5,0.5,OT-1,others,0.833333
1259,3/21/2005,1,ICC,16,0,0,16,16,TBDB PLANT,others,16
1299,3/21/2005,1,MCC,1.916667,14.55,16.5,1.55,1.55,CCM-5,others,1.916667
1300,3/21/2005,1,MCC,0.125,10.45,11.15,0.3,0.3,MILL,LINE-3,0.125
1301,3/21/2005,1,ICC,0.666667,17.1,17.5,0.4,0.4,CCM-1,others,0.666667
1340,3/20/2005,1,ICC,0.083333,14.25,14.45,0.2,0.2,MILL,LINE-1,0.083333
1347,3/20/2005,1,BC,0,0,0,0,0,OT-2,others,0
1387,3/20/2005,1,BC,0.333333,17.2,17.4,0.2,0.2,MILL,others,0.333333
1451,3/19/2005,1,ISC,4,0,0,4,4,PCM,M/C-4,4
1453,3/19/2005,1,BC,4,0,0,4,4,PCM,M/C-2,4
1492,3/19/2005,1,ICC,1,16,17,1,1,OT-3,others,1
1524,3/19/2005,1,ISC,8,6,14,8,8,PCM,M/C-3,8
1535,3/19/2005,1,BC,10.083333,8.4,18.45,10.05,10.05,OT-1,others,10.083333
1546,3/19/2005,1,BC,24,6,6,24,3120,others,STOVE-4,24
1554,3/18/2005,1,ICC,6.25,6,12.15,6.15,10.45,CCM-4,others,6.25
1631,3/18/2005,1,ICC,24,6,6,24,82,CONV-C,others,24
1657,3/17/2005,1,ICC,8.75,8.45,17.3,8.45,8.45,M/C-1,others,8.75
1662,3/17/2005,1,ICC,24,6,6,24,24,others,CHAMBER-5,24
1709,3/17/2005,1,BC,5,13.45,18.45,5,5,OT-2,others,5
1718,3/17/2005,1,ICC,1.083333,18.35,19.4,1.05,1.05,CCM-2,others,1.083333
1719,3/17/2005,1,BC,24,6,6,24,30,FK-3,others,24
1739,3/17/2005,1,BC,5.416667,8,13.25,5.25,5.25,CCM-1,others,5.416667
1741,3/17/2005,1,MCC,0.25,0,0,0.15,0.15,BILLET MIL,others,0.25
1827,3/16/2005,1,ICC,8,0,0,8,8,PCM,M/C-2,8
1828,3/16/2005,1,MCC,0.166667,10,10.1,0.1,0.1,MILL,FB,0.166667
1875,3/16/2005,1,ICC,3.75,14.3,18.15,3.45,3.45,WBRC,"CC-51,52",3.75
1884,3/16/2005,1,MCC,7.75,10.15,18,7.45,7.45,SCR,CC-39,7.75
1928,3/15/2005,1,BC,2.666667,17.5,20.3,2.4,2.4,CCM-6,others,2.666667
1959,3/15/2005,1,ISC,8,0,0,8,8,PCM,M/C-1,8
1960,3/15/2005,1,BC,8.75,9,17.45,8.45,8.45,BRC,CO-30,8.75
1961,3/15/2005,1,BC,8.75,11.3,20.15,8.45,8.45,CCM-5,others,8.75
1962,3/15/2005,1,BC,8.75,9,17.45,8.45,8.45,LOCP,VS-3,8.75
1963,3/15/2005,1,ICC,2,18.55,20.55,2,2,OT-1,others,2
1964,3/15/2005,1,ICC,0.75,15.3,16.15,0.45,0.45,OT-3,others,0.75
1994,3/15/2005,1,ISC,1.333333,9.1,10.3,1.2,1.2,CONV-B,TH,1.333333
2101,3/14/2005,1,ICC,4,0,0,4,4,PCM,M/C-2,4
2103,3/14/2005,1,ISC,6,0,0,6,6,PCM,M/C-4,6
2115,3/14/2005,1,ICC,0.25,0,0,0.15,0.15,BILLET MIL,others,0.25
2170,3/13/2005,1,ISC,0.0625,22.25,22.4,0.15,0.15,MILL,LINE-4,0.0625
2203,3/13/2005,1,ISC,0.75,0,0,0.45,0.45,BILLET MIL,others,0.75
2204,3/13/2005,1,BC,0.25,0,0,0.15,0.15,BILLET MIL,others,0.25
2272,3/12/2005,1,ISC,21.666667,8.2,6,21.4,21.4,CT-2,others,21.666667
2274,3/12/2005,1,BC,0.5,14,14.3,0.3,0.3,BAR MILL,others,0.5
2292,3/12/2005,1,ISC,0.416667,22,22.25,0.25,0.25,MILL,others,0.416667
2297,3/12/2005,1,ICC,0.333333,17,17.4,0.4,0.4,BAR MILL,LINE-2,0.333333
2427,3/11/2005,1,BC,0.416667,1.5,2.15,0.25,0.25,CT-1,others,0.416667
2445,3/11/2005,1,ICC,0.333333,2.1,2.3,0.2,0.2,OT-1,others,0.333333
2446,3/11/2005,1,BC,1,2.1,3.1,1,1,OT-3,others,1
2486,3/11/2005,1,ISC,6,21.45,3.45,6,6,OT-2,others,6
2491,3/11/2005,1,ISC,24,6,6,24,405.3,FK-4,others,24
2534,3/10/2005,1,ISC,0.333333,0,0,0.2,0.2,MILL,others,0.333333
2541,3/10/2005,1,ICC,3.25,22.3,1.45,3.15,3.15,others,CHG CR-1,3.25
2556,3/10/2005,1,BC,3,3,6,3,3,others,CHAMBER-10,3
2595,3/10/2005,1,ISC,0.5,5.3,6,0.3,0.3,OT-1,others,0.5
2608,3/9/2005,1,ISC,2,6,10,4,4,BAR MILL,LINE-2,2
2630,3/9/2005,1,ICC,0.5,11.15,11.45,0.3,0.3,OT-1,others,0.5
2631,3/9/2005,1,BC,0.333333,22.3,23.1,0.4,0.4,BAR MILL,LINE-2,0.333333
2632,3/9/2005,1,ICC,0.333333,3.3,4.1,0.4,0.4,BAR MILL,LINE-1,0.333333
2676,3/9/2005,1,BC,0.333333,11,11.2,0.2,0.2,M/C-2,DD SCRN,0.333333
2693,3/9/2005,1,ISC,0.5,13.15,13.45,0.3,0.3,MILL,others,0.5
2758,3/8/2005,1,BC,2,6,10,4,4,BAR MILL,LINE-1,2
2804,3/8/2005,1,BC,0.75,10.15,11,0.45,0.45,M/C-2,others,0.75
2811,3/8/2005,1,ICC,0.75,10.15,11,0.45,0.45,M/C-1,others,0.75
2812,3/8/2005,1,ICC,0.75,10.3,11.15,0.45,0.45,BHS,KA-2,0.75
2880,3/7/2005,1,ICC,2,0,0,2,2,PCM,M/C-1,2
2896,3/7/2005,1,BC,5.5,14,19.3,5.3,5.3,WBRC,others,5.5
2925,3/7/2005,1,ICC,4,0,0,4,4,PCM,M/C-2,4
2948,3/7/2005,1,BC,0.75,0,0,0.45,0.45,MILL,"S-12,14",0.75
2988,3/7/2005,1,ISC,0.125,15.3,16,0.3,0.3,MILL,LINE-3,0.125
3070,3/6/2005,1,BC,0.25,18.15,18.3,0.15,0.15,MILL,others,0.25
3085,3/6/2005,1,BC,0.583333,16.4,17.15,0.35,0.35,CONV-A,others,0.583333
3137,3/5/2005,1,ICC,9,9,18,9,9,others,TB STKR,9
3208,3/5/2005,1,ICC,0.25,21.45,22,0.15,0.15,M/C-2,others,0.25
3219,3/5/2005,1,ICC,0.25,19.3,19.45,0.15,0.15,M/C-2,others,0.25
3270,3/4/2005,1,MCC,0.083333,9.55,10,0.05,0.05,MILL,others,0.083333
3271,3/4/2005,1,MCC,0.333333,0,0.4,0.4,0.4,BAR MILL,LINE-2,0.333333
3294,3/4/2005,1,ICC,4.75,17,21.45,4.45,4.45,others,PC-3,4.75
3323,3/4/2005,1,BC,0.25,0,0,0.15,0.15,BILLET MIL,others,0.25
3328,3/4/2005,1,ICC,0.333333,18.2,19,0.4,0.4,BAR MILL,LINE-2,0.333333
3329,3/4/2005,1,ICC,0.166667,2.4,3.2,0.4,0.4,MILL,LINE-3,0.166667
3369,3/3/2005,1,BC,0.583333,20.4,21.15,0.35,0.35,OT-3,others,0.583333
3370,3/3/2005,1,ICC,0.666667,11.5,12.3,0.4,0.4,OT-1,others,0.666667
3371,3/3/2005,1,ICC,1.5,13.45,15.15,1.3,1.3,OT-2,others,1.5
3451,3/3/2005,1,BC,5.333333,19.4,1,5.2,5.2,LOCP,VF-14,5.333333
3494,3/2/2005,1,ICC,5.166667,0.5,6,5.1,5.1,OT-3,others,5.166667
3496,3/2/2005,1,BC,0.5,1.3,2,0.3,0.3,OT-2,others,0.5
3522,3/2/2005,1,ICC,14.583333,14,4.35,14.35,14.35,CT-1,others,14.583333
3547,3/2/2005,1,BC,0.5,1,1.3,0.3,0.3,OT-1,others,0.5
3559,3/2/2005,1,ICC,24,6,6,24,87.3,FK-5,others,24
3572,3/2/2005,1,BC,24,6,6,24,57.3,CCM-5,others,24
